classes,x,y,Validation
dogs,-0.045208,-0.376791,train
dogs,-0.045208,-0.376791,train
dogs,-0.045208,-0.384057,train
dogs,-0.045208,-0.391322,train
dogs,-0.045208,-0.405853,train
dogs,-0.045208,-0.405853,train
dogs,-0.045208,-0.413118,train
dogs,-0.045208,-0.420383,train
dogs,-0.045208,-0.434914,train
dogs,-0.045208,-0.434914,train
dogs,-0.045208,-0.449445,train
dogs,-0.045208,-0.463976,train
dogs,-0.045208,-0.478507,train
dogs,-0.045208,-0.493037,train
dogs,-0.045208,-0.500303,train
dogs,-0.051966,-0.507568,train
dogs,-0.051966,-0.514834,train
dogs,-0.058724,-0.522099,train
dogs,-0.058724,-0.543895,train
dogs,-0.058724,-0.558426,train
dogs,-0.065482,-0.565691,train
dogs,-0.065482,-0.565691,train
dogs,-0.072241,-0.580222,train
dogs,-0.11279,-0.616549,train
dogs,-0.220922,-0.681937,train
dogs,-0.329055,-0.747326,train
dogs,-0.335813,-0.747326,train
dogs,-0.342571,-0.747326,train
dogs,-0.369604,-0.718264,train
dogs,-0.383121,-0.718264,train
dogs,-0.687243,-0.718264,train
dogs,-0.754825,-0.718264,train
dogs,-0.835924,-0.710999,train
dogs,-0.835924,-0.710999,train
dogs,-0.849441,-0.681937,train
dogs,-0.849441,-0.681937,train
dogs,-0.849441,-0.660141,train
dogs,-0.849441,-0.64561,train
dogs,-0.842683,-0.638345,train
dogs,-0.842683,-0.63108,train
dogs,-0.835924,-0.623814,train
dogs,-0.829166,-0.587487,train
dogs,-0.822408,-0.572957,train
dogs,-0.822408,-0.543895,train
dogs,-0.822408,-0.543895,train
dogs,-0.802133,-0.558426,train
dogs,-0.565594,-0.674672,train
dogs,-0.518286,-0.696468,train
dogs,-0.437187,-0.732795,train
dogs,-0.437187,-0.732795,train
dogs,-0.302022,-0.732795,train
dogs,-0.261472,-0.732795,train
dogs,-0.15334,-0.732795,train
dogs,-0.15334,-0.732795,train
dogs,-0.146582,-0.732795,train
dogs,-0.126307,-0.710999,train
dogs,-0.126307,-0.703734,train
dogs,-0.126307,-0.703734,train
dogs,-0.15334,-0.696468,train
dogs,-0.15334,-0.696468,train
dogs,-0.173615,-0.681937,train
dogs,-0.193889,-0.674672,train
dogs,-0.214164,-0.667407,train
dogs,-0.254714,-0.64561,train
dogs,-0.329055,-0.63108,train
dogs,-0.349329,-0.638345,train
dogs,-0.349329,-0.638345,train
dogs,-0.470978,-0.638345,train
dogs,-0.498011,-0.638345,train
dogs,-0.531803,-0.63108,train
dogs,-0.592627,-0.609284,train
dogs,-0.606143,-0.602018,train
dogs,-0.633177,-0.594753,train
dogs,-0.653451,-0.594753,train
dogs,-0.673726,-0.587487,train
dogs,-0.673726,-0.587487,train
dogs,-0.694001,-0.580222,train
dogs,-0.694001,-0.572957,train
dogs,-0.700759,-0.572957,train
dogs,-0.680484,-0.543895,train
dogs,-0.673726,-0.53663,train
dogs,-0.66021,-0.529364,train
dogs,-0.646693,-0.529364,train
dogs,-0.525044,-0.558426,train
dogs,-0.261472,-0.616549,train
dogs,-0.254714,-0.616549,train
dogs,-0.254714,-0.616549,train
dogs,-0.247956,-0.616549,train
dogs,-0.247956,-0.572957,train
dogs,-0.247956,-0.558426,train
dogs,-0.247956,-0.522099,train
dogs,-0.247956,-0.514834,train
dogs,-0.383121,-0.500303,train
dogs,-0.491253,-0.493037,train
dogs,-0.538561,-0.493037,train
dogs,-0.552077,-0.493037,train
dogs,-0.57911,-0.493037,train
dogs,-0.700759,-0.493037,train
dogs,-0.741309,-0.485772,train
dogs,-0.741309,-0.485772,train
dogs,-0.748067,-0.478507,train
dogs,-0.741309,-0.463976,train
dogs,-0.741309,-0.463976,train
dogs,-0.666968,-0.45671,train
dogs,-0.383121,-0.45671,train
dogs,-0.349329,-0.45671,train
dogs,-0.349329,-0.45671,train
dogs,-0.349329,-0.45671,train
dogs,-0.342571,-0.45671,train
dogs,-0.315538,-0.449445,train
dogs,-0.139823,-0.434914,train
dogs,-0.119549,-0.427649,train
dogs,-0.092515,-0.413118,train
dogs,-0.092515,-0.413118,train
dogs,-0.085757,-0.413118,train
dogs,-0.072241,-0.405853,train
dogs,-0.072241,-0.405853,train
dogs,-0.072241,-0.405853,train
dogs,-0.139823,-0.398587,train
dogs,-0.173615,-0.391322,train
dogs,-0.288505,-0.369526,train
dogs,-0.315538,-0.36226,train
dogs,-0.335813,-0.354995,train
dogs,-0.383121,-0.333199,train
dogs,-0.389879,-0.325933,train
dogs,-0.430429,-0.311403,train
dogs,-0.430429,-0.311403,train
dogs,-0.525044,-0.260545,train
dogs,-0.606143,-0.231483,train
dogs,-0.61966,-0.224218,train
dogs,-0.626418,-0.224218,train
dogs,-0.673726,-0.187891,train
dogs,-0.680484,-0.187891,train
dogs,-0.680484,-0.180626,train
dogs,-0.558836,-0.144299,train
dogs,-0.484495,-0.107972,train
dogs,-0.484495,-0.107972,train
dogs,-0.430429,-0.07891,train
dogs,-0.369604,-0.042583,train
dogs,-0.369604,-0.042583,train
dogs,-0.362846,-0.035318,train
dogs,-0.362846,-0.028052,train
dogs,-0.362846,-0.020787,train
dogs,-0.362846,0.030071,train
dogs,-0.356088,0.10999,train
dogs,-0.356088,0.189909,train
dogs,-0.369604,0.255298,train
dogs,-0.416912,0.29889,train
dogs,-0.42367,0.306155,train
dogs,-0.457462,0.364279,train
dogs,-0.470978,0.386075,train
dogs,-0.498011,0.451463,train
dogs,-0.50477,0.495055,train
dogs,-0.498011,0.509586,train
dogs,-0.46422,0.545913,train
dogs,-0.437187,0.574975,train
dogs,-0.430429,0.58224,train
dogs,-0.410154,0.58224,train
dogs,-0.193889,0.618567,train
dogs,-0.106032,0.633098,train
dogs,-0.092515,0.640363,train
dogs,-0.072241,0.640363,train
dogs,0.022375,0.647629,train
dogs,0.04265,0.647629,train
dogs,0.083199,0.647629,train
dogs,0.089958,0.640363,train
dogs,0.171057,0.640363,train
dogs,0.360288,0.654894,train
dogs,0.502212,0.669425,train
dogs,0.529245,0.67669,train
dogs,0.536003,0.683956,train
dogs,0.569794,0.683956,train
dogs,0.66441,0.683956,train
dogs,0.698201,0.683956,train
dogs,0.698201,0.683956,train
dogs,0.698201,0.691221,train
dogs,0.691443,0.698486,train
dogs,0.650893,0.698486,train
dogs,0.427871,0.698486,train
dogs,0.089958,0.67669,train
dogs,0.069683,0.67669,train
dogs,0.069683,0.67669,train
dogs,-0.133065,0.705752,train
dogs,-0.160098,0.713017,train
dogs,-0.227681,0.727548,train
dogs,-0.227681,0.727548,train
dogs,-0.234439,0.727548,train
dogs,-0.281747,0.727548,train
dogs,-0.281747,0.727548,train
dogs,-0.288505,0.727548,train
dogs,-0.295263,0.720283,train
dogs,-0.315538,0.720283,train
dogs,-0.403396,0.698486,train
dogs,-0.403396,0.698486,train
dogs,-0.410154,0.691221,train
dogs,-0.281747,0.640363,train
dogs,-0.214164,0.618567,train
dogs,-0.058724,0.604036,train
dogs,-0.031691,0.596771,train
dogs,-0.024933,0.596771,train
dogs,0.231881,0.604036,train
dogs,0.340013,0.604036,train
dogs,0.360288,0.604036,train
dogs,0.481937,0.604036,train
dogs,0.481937,0.604036,train
dogs,0.481937,0.604036,train
dogs,0.590069,0.604036,train
dogs,0.596827,0.604036,train
dogs,0.630619,0.604036,train
dogs,0.846883,0.604036,train
dogs,0.873916,0.604036,train
dogs,0.887433,0.604036,train
dogs,0.887433,0.604036,train
dogs,0.8604,0.589506,train
dogs,0.840125,0.58224,train
dogs,0.799575,0.574975,train
dogs,0.7793,0.567709,train
dogs,0.759026,0.567709,train
dogs,0.66441,0.560444,train
dogs,0.54952,0.560444,train
dogs,0.542761,0.560444,train
dogs,0.400838,0.560444,train
dogs,0.15754,0.567709,train
dogs,0.116991,0.567709,train
dogs,0.056166,0.58224,train
dogs,0.056166,0.58224,train
dogs,0.0021,0.58224,train
dogs,-0.207406,0.589506,train
dogs,-0.329055,0.589506,train
dogs,-0.342571,0.589506,train
dogs,-0.349329,0.58224,train
dogs,-0.369604,0.567709,train
dogs,-0.369604,0.567709,train
dogs,-0.369604,0.560444,train
dogs,-0.322296,0.524117,train
dogs,-0.274989,0.516852,train
dogs,-0.092515,0.480525,train
dogs,0.022375,0.480525,train
dogs,0.035892,0.480525,train
dogs,0.069683,0.480525,train
dogs,0.272431,0.502321,train
dogs,0.367046,0.502321,train
dogs,0.373805,0.502321,train
dogs,0.373805,0.502321,train
dogs,0.461662,0.502321,train
dogs,0.529245,0.502321,train
dogs,0.556278,0.48779,train
dogs,0.563036,0.48779,train
dogs,0.515728,0.436932,train
dogs,0.488695,0.422402,train
dogs,0.373805,0.400605,train
dogs,0.272431,0.400605,train
dogs,0.272431,0.400605,train
dogs,0.279189,0.39334,train
dogs,0.285947,0.39334,train
dogs,0.292706,0.39334,train
dogs,0.299464,0.39334,train
dogs,0.346772,0.415136,train
dogs,0.515728,0.48779,train
dogs,0.542761,0.502321,train
dogs,0.542761,0.502321,train
dogs,0.569794,0.48779,train
dogs,0.583311,0.473259,train
dogs,0.583311,0.465994,train
dogs,0.583311,0.465994,train
dogs,0.583311,0.415136,train
dogs,0.583311,0.407871,train
dogs,0.569794,0.371544,train
dogs,0.569794,0.364279,train
dogs,0.569794,0.364279,train
dogs,0.711718,0.378809,train
dogs,0.759026,0.378809,train
dogs,0.799575,0.378809,train
dogs,0.799575,0.378809,train
dogs,0.66441,0.371544,train
dogs,0.657652,0.371544,train
dogs,0.657652,0.371544,train
dogs,0.650893,0.371544,train
dogs,0.644135,0.349748,train
dogs,0.637377,0.349748,train
dogs,0.637377,0.349748,train
dogs,0.637377,0.349748,train
dogs,0.637377,0.349748,train
dogs,0.684685,0.458729,train
dogs,0.691443,0.560444,train
dogs,0.70496,0.691221,train
dogs,0.70496,0.742079,train
dogs,0.70496,0.749344,train
dogs,0.684685,0.734813,train
dogs,0.603586,0.683956,train
dogs,0.475179,0.596771,train
dogs,0.427871,0.560444,train
dogs,0.414354,0.553179,train
dogs,0.387321,0.538648,train
dogs,0.380563,0.538648,train
dogs,0.360288,0.524117,train
dogs,0.35353,0.516852,train
dogs,0.346772,0.509586,train
dogs,0.340013,0.502321,train
dogs,0.279189,0.48779,train
dogs,0.177815,0.48779,train
dogs,0.171057,0.48779,train
dogs,0.164299,0.48779,train
dogs,0.062925,0.436932,train
dogs,0.0021,0.415136,train
dogs,0.0021,0.415136,train
dogs,-0.011416,0.39334,train
dogs,-0.018175,0.386075,train
dogs,-0.024933,0.371544,train
dogs,-0.038449,0.349748,train
dogs,-0.051966,0.320686,train
dogs,-0.058724,0.277094,train
dogs,-0.058724,0.269828,train
dogs,-0.058724,0.262563,train
dogs,-0.065482,0.248032,train
dogs,-0.078999,0.218971,train
dogs,-0.085757,0.211705,train
dogs,-0.092515,0.197175,train
dogs,-0.099274,0.175378,train
dogs,-0.106032,0.146317,train
dogs,-0.119549,0.051867,train
dogs,-0.126307,0.01554,train
dogs,-0.133065,-0.020787,train
dogs,-0.133065,-0.035318,train
dogs,-0.133065,-0.086176,train
dogs,-0.133065,-0.107972,train
dogs,-0.133065,-0.122503,train
dogs,-0.133065,-0.137033,train
dogs,-0.133065,-0.151564,train
dogs,-0.133065,-0.17336,train
dogs,-0.133065,-0.17336,train
dogs,-0.133065,-0.17336,train
dogs,-0.139823,-0.195156,train
dogs,-0.139823,-0.195156,train
dogs,-0.146582,-0.224218,train
dogs,-0.180373,-0.260545,train
dogs,-0.220922,-0.282341,train
dogs,-0.227681,-0.282341,train
dogs,-0.227681,-0.275076,train
dogs,-0.187131,-0.180626,train
dogs,-0.15334,-0.137033,train
dogs,-0.139823,-0.093441,train
dogs,-0.126307,-0.035318,train
dogs,-0.126307,0.037336,train
dogs,-0.139823,0.160848,train
dogs,-0.160098,0.240767,train
dogs,-0.166856,0.320686,train
dogs,-0.180373,0.407871,train
dogs,-0.180373,0.560444,train
dogs,-0.166856,0.640363,train
dogs,-0.166856,0.691221,train
dogs,-0.139823,0.604036,train
dogs,-0.085757,0.415136,train
dogs,-0.085757,0.39334,train
dogs,-0.078999,0.378809,train
dogs,-0.078999,0.335217,train
dogs,-0.078999,0.291625,train
dogs,-0.078999,0.197175,train
dogs,-0.078999,0.102725,train
dogs,-0.085757,0.044601,train
dogs,-0.099274,0.022805,train
dogs,-0.11279,-0.013522,train
dogs,-0.15334,-0.057114,train
dogs,-0.241197,-0.115237,train
dogs,-0.302022,-0.151564,train
dogs,-0.30878,-0.158829,train
dogs,-0.30878,-0.17336,train
dogs,-0.315538,-0.180626,train
dogs,-0.315538,-0.180626,train
dogs,-0.274989,-0.064379,train
dogs,-0.227681,0.168113,train
dogs,-0.220922,0.211705,train
dogs,-0.220922,0.269828,train
dogs,-0.220922,0.269828,train
dogs,-0.220922,0.269828,train
dogs,-0.214164,0.306155,train
dogs,-0.207406,0.364279,train
dogs,-0.200648,0.39334,train
dogs,-0.200648,0.364279,train
dogs,-0.220922,0.088194,train
dogs,-0.227681,0.037336,train
dogs,-0.241197,-0.071645,train
dogs,-0.241197,-0.07891,train
dogs,-0.241197,-0.071645,train
dogs,-0.241197,0.182644,train
dogs,-0.241197,0.320686,train
dogs,-0.241197,0.48779,train
dogs,-0.241197,0.560444,train
dogs,-0.247956,0.560444,train
dogs,-0.335813,0.39334,train
dogs,-0.430429,0.182644,train
dogs,-0.477736,0.030071,train
dogs,-0.477736,0.030071,train
dogs,-0.477736,0.066398,train
dogs,-0.356088,0.320686,train
dogs,-0.349329,0.364279,train
dogs,-0.342571,0.451463,train
dogs,-0.342571,0.451463,train
dogs,-0.349329,0.436932,train
dogs,-0.511528,0.320686,train
dogs,-0.525044,0.306155,train
dogs,-0.538561,0.29889,train
dogs,-0.538561,0.29889,train
dogs,-0.531803,0.29889,train
dogs,-0.50477,0.29889,train
dogs,-0.498011,0.306155,train
dogs,-0.498011,0.313421,train
dogs,-0.498011,0.313421,train
dogs,-0.599385,0.335217,train
dogs,-0.781858,0.342482,train
dogs,-0.788617,0.342482,train
dogs,-0.781858,0.342482,train
dogs,-0.592627,0.262563,train
dogs,-0.572352,0.240767,train
dogs,-0.572352,0.240767,train
dogs,-0.558836,0.233502,train
dogs,-0.558836,0.233502,train
dogs,-0.552077,0.218971,train
dogs,-0.545319,0.20444,train
dogs,-0.531803,0.189909,train
dogs,-0.525044,0.182644,train
dogs,-0.525044,0.182644,train
dogs,-0.511528,0.160848,train
dogs,-0.511528,0.153582,train
dogs,-0.50477,0.139051,train
dogs,-0.491253,0.102725,train
dogs,-0.491253,0.095459,train
dogs,-0.498011,0.095459,train
dogs,-0.585869,0.117255,train
dogs,-0.585869,0.124521,train
dogs,-0.592627,0.124521,train
dogs,-0.592627,0.124521,train
dogs,-0.592627,0.124521,train
dogs,-0.599385,0.124521,train
dogs,-0.606143,0.117255,train
dogs,-0.612902,0.10999,train
dogs,-0.626418,0.095459,train
dogs,-0.639935,0.022805,train
dogs,-0.646693,-0.057114,train
dogs,-0.646693,-0.07891,train
dogs,-0.646693,-0.07891,train
dogs,-0.646693,-0.07891,train
dogs,-0.646693,-0.107972,train
dogs,-0.646693,-0.115237,train
dogs,-0.646693,-0.129768,train
dogs,-0.653451,-0.158829,train
dogs,-0.666968,-0.17336,train
dogs,-0.680484,-0.202422,train
dogs,-0.687243,-0.209687,train
dogs,-0.694001,-0.231483,train
dogs,-0.694001,-0.25328,train
dogs,-0.700759,-0.26781,train
dogs,-0.700759,-0.26781,train
dogs,-0.700759,-0.275076,train
dogs,-0.707517,-0.289606,train
dogs,-0.714276,-0.304137,train
dogs,-0.721034,-0.304137,train
dogs,-0.721034,-0.311403,train
dogs,-0.721034,-0.311403,train
dogs,-0.626418,-0.36226,train
dogs,-0.585869,-0.376791,train
dogs,-0.50477,-0.384057,train
dogs,-0.50477,-0.384057,train
dogs,-0.50477,-0.384057,train
dogs,-0.477736,-0.384057,train
dogs,-0.470978,-0.384057,train
dogs,-0.389879,-0.384057,train
dogs,-0.369604,-0.384057,train
dogs,-0.362846,-0.384057,train
dogs,-0.356088,-0.384057,train
dogs,-0.342571,-0.369526,train
dogs,-0.342571,-0.36226,train
dogs,-0.335813,-0.36226,train
dogs,-0.335813,-0.354995,train
dogs,-0.335813,-0.354995,train
dogs,-0.383121,-0.333199,train
dogs,-0.565594,-0.325933,train
dogs,-0.680484,-0.325933,train
dogs,-0.680484,-0.318668,train
dogs,-0.687243,-0.318668,train
dogs,-0.721034,-0.296872,train
dogs,-0.727792,-0.289606,train
dogs,-0.727792,-0.289606,train
dogs,-0.727792,-0.289606,train
dogs,-0.599385,-0.26781,train
dogs,-0.565594,-0.260545,train
dogs,-0.558836,-0.260545,train
dogs,-0.484495,-0.260545,train
dogs,-0.443945,-0.260545,train
dogs,-0.383121,-0.260545,train
dogs,-0.383121,-0.260545,train
dogs,-0.376363,-0.260545,train
dogs,-0.369604,-0.25328,train
dogs,-0.362846,-0.25328,train
dogs,-0.362846,-0.25328,train
dogs,-0.342571,-0.238749,train
dogs,-0.342571,-0.238749,train
dogs,-0.335813,-0.238749,train
dogs,-0.335813,-0.231483,train
dogs,-0.30878,-0.209687,train
dogs,-0.295263,-0.195156,train
dogs,-0.315538,-0.187891,train
dogs,-0.457462,-0.187891,train
dogs,-0.498011,-0.187891,train
dogs,-0.558836,-0.187891,train
dogs,-0.565594,-0.187891,train
dogs,-0.585869,-0.187891,train
dogs,-0.61966,-0.180626,train
dogs,-0.653451,-0.17336,train
dogs,-0.66021,-0.17336,train
dogs,-0.721034,-0.129768,train
dogs,-0.721034,-0.129768,train
dogs,-0.727792,-0.122503,train
dogs,-0.727792,-0.100706,train
dogs,-0.727792,-0.086176,train
dogs,-0.727792,-0.042583,train
dogs,-0.721034,-0.028052,train
dogs,-0.687243,-0.028052,train
dogs,-0.687243,-0.028052,train
dogs,-0.639935,0.059132,train
dogs,-0.626418,0.182644,train
dogs,-0.61966,0.20444,train
dogs,-0.61966,0.20444,train
dogs,-0.666968,0.022805,train
dogs,-0.673726,-0.020787,train
dogs,-0.694001,-0.151564,train
dogs,-0.707517,-0.202422,train
dogs,-0.721034,-0.231483,train
dogs,-0.761583,-0.304137,train
dogs,-0.781858,-0.34773,train
dogs,-0.795375,-0.36226,train
dogs,-0.802133,-0.376791,train
dogs,-0.802133,-0.391322,train
dogs,-0.802133,-0.391322,train
dogs,-0.795375,-0.405853,train
dogs,-0.457462,-0.485772,train
dogs,-0.457462,-0.485772,train
dogs,-0.450703,-0.485772,train
dogs,-0.450703,-0.485772,train
dogs,-0.430429,-0.485772,train
dogs,-0.430429,-0.485772,train
dogs,-0.362846,-0.543895,train
dogs,-0.342571,-0.558426,train
dogs,-0.342571,-0.565691,train
dogs,-0.335813,-0.565691,train
dogs,-0.335813,-0.565691,train
dogs,-0.322296,-0.565691,train
dogs,-0.274989,-0.543895,train
dogs,-0.254714,-0.53663,train
dogs,-0.200648,-0.514834,train
dogs,-0.200648,-0.514834,train
dogs,-0.193889,-0.507568,train
dogs,-0.193889,-0.493037,train
dogs,-0.193889,-0.471241,train
dogs,-0.193889,-0.449445,train
dogs,-0.193889,-0.449445,train
dogs,-0.234439,-0.471241,train
dogs,-0.234439,-0.471241,train
dogs,-0.241197,-0.485772,train
dogs,-0.241197,-0.529364,train
dogs,-0.234439,-0.558426,train
dogs,-0.227681,-0.572957,train
dogs,-0.227681,-0.587487,train
dogs,-0.227681,-0.616549,train
dogs,-0.227681,-0.63108,train
dogs,-0.220922,-0.623814,train
dogs,-0.207406,-0.594753,train
dogs,-0.193889,-0.565691,train
dogs,-0.173615,-0.522099,train
dogs,-0.166856,-0.507568,train
dogs,-0.173615,-0.514834,train
dogs,-0.180373,-0.522099,train
dogs,-0.180373,-0.507568,train
